id,trainNumber,ocpRef,name,trackRef,track,ref,name.1,dir,arrival,departure,minimalTime,ocpType,ref.1,code,stopPostRef,Unnamed: 16,Unnamed: 17,Train 1 Number,Train 2 Number,Train 1 Station,Train 2 Station,Conflict Track,Train 1 Time,Train 2 Time,Train 1 Row,Train 2 Row,Conflict Direction,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
tp_0_11_2025_12,VIAE1,nON_ExhSt,Exhibition Station,,,stON_OakSub_0_ON_ExhSt_3,T3,down,,08:30:42,,pass,ou_2_2,Canadian,,,,4171,4170,King-Liberty Station,King-Liberty Station,T3,13:48:54,13:49:42,10358.0,10378.0,Head On,1928-05-09 00:00:00,10377.0,,
tp_0_11_2025_12,VIAE1,nON_StrAve,Strachan Avenue,st_ON_StrAve_6,T4,stON_OakSub_0_ON_StrAve_5,T4,down,,08:32:36,,pass,ou_2_2,Canadian,,,,4173,4172,King-Liberty Station,King-Liberty Station,T3,14:03:54,14:04:42,10575.0,10590.0,Head On,1928-12-12 00:00:00,10589.0,,
tp_0_11_2025_12,VIAE1,nON_BthItl,Bathurst St. Interlocking,,,stON_OakSub_0_ON_BthItl_3,D4,down,,08:34:36,,pass,ou_2_2,Canadian,,,,4175,4174,King-Liberty Station,King-Liberty Station,T3,14:18:54,14:19:42,10777.0,10795.0,Head On,1929-07-02 00:00:00,10794.0,,
tp_0_11_2025_12,VIAE1,nON_UniSt,Union Station,st_ON_UniSt_8,8,,,,08:39:00,,PT1M,stop,ou_2_2,Canadian,,,,4177,4176,King-Liberty Station,King-Liberty Station,T3,14:33:54,14:34:42,10981.0,10996.0,Head On,1930-01-22 00:00:00,10995.0,,
tp_0_12_2025_15,VIAE2,nON_UniSt,Union Station,st_ON_UniSt_8,8,stON_OakSub_0_ON_BthItl_0,D1,up,,15:09:00,PT10M,stop,ou_2_2,Canadian,,,,4179,4178,King-Liberty Station,King-Liberty Station,T3,14:48:54,14:49:42,11187.0,11205.0,Head On,1930-08-16 00:00:00,11204.0,,
tp_0_12_2025_15,VIAE2,nON_BthItl,Bathurst St. Interlocking,,,stON_OakSub_0_ON_StrAve_3,T2,up,,15:11:30,,pass,ou_2_2,Canadian,,,,4181,4180,King-Liberty Station,King-Liberty Station,T3,15:03:54,15:04:42,11384.0,11402.0,Head On,1931-03-01 00:00:00,11401.0,,
tp_0_12_2025_15,VIAE2,nON_StrAve,Strachan Avenue,st_ON_StrAve_4,T2,stON_OakSub_0_ON_ExhSt_2,T2,up,,15:12:36,,pass,ou_2_2,Canadian,,,,4183,4182,King-Liberty Station,King-Liberty Station,T3,15:18:54,15:19:42,11605.0,11623.0,Head On,1931-10-08 00:00:00,11622.0,,
tp_0_12_2025_15,VIAE2,nON_ExhSt,Exhibition Station,st_ON_ExhSt_2,T2,stON_OakSub_0_ON_PalSt_1,T2,up,,15:13:36,,pass,ou_2_2,Canadian,,,,4185,4184,King-Liberty Station,King-Liberty Station,T3,15:33:54,15:34:42,11802.0,11816.0,Head On,1932-04-22 00:00:00,11815.0,,
tp_0_12_2025_15,VIAE2,nON_PalSt,Park Lawn Station,,,stON_OakSub_0_ON_MimSt_3,T4,up,15:22:00,15:25:00,,stop,ou_2_2,Canadian,,,,4187,4186,King-Liberty Station,King-Liberty Station,T3,15:48:54,15:49:42,12026.0,12044.0,Head On,1932-12-02 00:00:00,12043.0,,
tp_0_12_2025_15,VIAE2,nON_MimSt,Mimico Station,st_ON_MimSt_6,S1,stON_MimSub_0_ON_MimYdS_0,S1,up,,15:28:00,,pass,ou_2_2,Canadian,,,,4189,4188,King-Liberty Station,King-Liberty Station,T3,16:03:54,16:04:42,12283.0,12296.0,Head On,1933-08-16 00:00:00,12295.0,,
tp_0_12_2025_15,VIAE2,nON_MimYdS,TMC,,,,,,15:32:00,,PT1M,stop,ou_2_2,Canadian,,,,4191,4190,King-Liberty Station,King-Liberty Station,T3,16:18:54,16:19:42,12526.0,12549.0,Head On,1934-04-16 00:00:00,12548.0,,
tp_0_40_2025_18,VIA40,nON_UniSt,Union Station,st_ON_UniSt_10,10,stON_KgnSub_0_ON_ChyItl_4,E4,up,,10:32:54,PT30M,stop,ou_2_1,D7,,,,4193,4192,King-Liberty Station,King-Liberty Station,T3,16:33:54,16:34:42,12754.0,12767.0,Head On,1934-11-30 00:00:00,12766.0,,
tp_0_40_2025_18,VIA40,nON_ChyItl,Cherry St,,,stON_KgnSub_0_ON_EhbSt_2,T2,up,,10:35:18,,pass,ou_2_1,D7,,,,4195,4194,King-Liberty Station,King-Liberty Station,T3,16:48:54,16:49:42,12998.0,13018.0,Head On,1935-08-01 00:00:00,13017.0,,
